Month,#Price
2015-01,91.395
2015-02,91.4692
2015-03,91.7594
2015-04,93.3323
2015-05,96.4335
2015-06,97.7899
2015-07,101.3459
2015-08,102.4981
2015-09,105.3813
2015-10,102.7179
2015-11,102.2002
2015-12,102.2462
2016-01,102.3379
2016-02,101.9353
2016-03,101.4726
2016-04,101.2359
2016-05,100.7782
2016-06,101.155
2016-07,101.3226
2016-08,101.387
2016-09,101.2476
2016-10,103.3415
2016-11,101.7646
2016-12,102.2046
2017-01,103.7489
2017-02,103.6309
2017-03,102.6652
